Store_locations_ID,Text_ID,Text,aspectCategory,sentiment
1,2,very valuable for the service he provides the products and their quality,service,positive
1,3,i entered this caf but did not sit down due to an emergency but it is considered a good place for young groups,place,positive
1,4,the place is beautiful and elegant but there are annoying smells during the sessions,place,positive
1,5,the sessions are very old and worn out requests are normal and not up to par with the area,place,negative
1,6,the place is quiet on thursday and friday it is riyals for internal sessions including requests and external upon request but a cup of tea costs riyals,place,positive
1,7,the place does not provide food or food only drinks and some types of sweets,"drinks, place","positive, positive"
1,8,if there was less than one star i would have given them a session for we ordered molasses pots of tea and juice the tea is bad we dont drink it and molasses is not the last time i come,food,negative
1,9,one star is for workers only as for the prices it is tourist prices and it is small in size and expensive i do not recommend trying it,price,positive
1,10,the place is beautiful but the tv and music are loud,"ambience, place","positive, positive"
1,11,the place is amazing but for the first time i know that it is reserved for big matches or classics but it is a good place with parking but it is tight,place,positive
1,13,the place is untidy and not clean and the prices are very very high for the filth burnt sofas and nonexistent floors pepsi is only riyals you are sitting in the most luxurious restaurant in jeddah and shisha is riyals compared to the cleanest most luxurious and tidy place nearby for only a kilo parallel world for riyals a medical device of the luxury type is compared to this caf that brings you the cheapest type of cheap medical equipment that is a riyal and those who run the caf are disgustingly barbaric there is a lack of politeness from an employee mona i know she is saudi or ethiopian she is happy but she does not understand how to deal with customers,"clean, place","positive, positive"
1,15,a dirty place burnt seats and exaggerated prices double the price of a luxury cafe on the sea i dont know what the situation is a commercial coverup of africans bringing their cousin to run the caf the situation is reported to the ministry of commerce and the municipality,place,negative
1,16,look at the prices of having a hookah in burj al arab or sitting by the sea it is better for a pepsi for riyals and a shisha for riyals and finishes in minutes  any place run by haboush this is the end of it,"price, food","positive, positive"
1,18,good place but a little noisy,place,positive
1,19,i do not recommend it and its prices are more expensive,price,positive
1,20,a good cafe with comfortable floor seating,seating,positive
1,23,excellent but drinks from outside are prohibited let me pay for the seat but i can drink as much as i want,drinks,positive
1,24,what do they show in the italian league cleanliness is yours beloved,clean,positive
1,28,god willing the place is beautiful the seating is comfortable and the prices are good i advise you on the saffron cake and arabic coffee something else,"price, place","positive, positive"
1,29,the location is very quiet but their prices are expensive,location,positive
1,30,the mongoose is slaughtered and the quality of the television is yours,food,positive
1,31,the sessions are very good and their prices are good they have hot drinks such as moroccan tea which they prepare for you once what they work in is people with good morals i swear,"price, drinks","positive, positive"
1,32,quiet and sweet place,place,positive
1,34,the best caf in north obhurexcellent sweets and drinks delivery service to the restaurants below as well as very elegant molasses the prices are acceptable and the service is excellent,"service, price","positive, positive"
1,35,good but the prices are a little high,price,positive
1,36,the coffee and tea are bad the employee is excellent and her manner of dealing is sophisticated,staff,positive
1,38,i do not recommend visiting it,place,positive
1,39,i swear we paid riyals and we dont have honey and the sweet is not worth a riyal the sweet is frozen in the freezer and i tell him to go back and heat it and nothing has any taste and does not even deserve a star,price,negative
1,40,the place is bad and the prices are very high the sessions are only with orders of more than and all the orders are expensive a cup of tea for it was an experience for the first time and the last time,price,negative
1,41,enough is bad smelly and unclean while the workers are better helpful and expensive the session costs riyals and shahis refrigerator costs until the match if there are two matches at the same time he tells you halftime they cannot buy a second receiver,clean,positive
1,42,the cafe is bad in the past it was excellent but now it has bad service and the workers have bad morals i do not recommend it there is a bad smell in the place and the furniture is old and torn and it smells damp,location,negative
1,43,what is more the screen quality is poor for matches,ambience,negative
1,44,popular coffee for young people for shisha balouh and tea i do not advise families to go,drinks,positive
1,45,unclean place and bad service i ordered hot chocolate one of the worst drinks and expensive prices i do not recommend it to anyone,"price, place","negative, negative"
1,46,they are nice but their prices are very expensive,price,positive
1,48,they force you to pay riyals for the session in the weekend,price,negative
1,49,somewhere that cares about customers never with bad service,service,positive
1,50,i think from my point of view that the place is intended for young people it is excellent for small groups of young people meaning six people is a lot the place is a bit hot and i do not recommend it for families,place,positive
1,52,good for youth sessions,"ambience, place","positive, positive"
